region,sub.region,country,year,x,y
Africa,Northern Africa,Tunisia,2016,14,11
Asia,Western Asia,Turkey,2015,18,7
Asia,Central Asia,Turkmenistan,,22,7
Oceania,Polynesia,Tuvalu,2016,27,18
Africa,Eastern Africa,Uganda,2017,16,15
Europe,Eastern Europe,Ukraine,2017,17,5
Asia,Western Asia,United Arab Emirates,2016,20,10
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,2016,11,4
Africa,Eastern Africa,United Republic of Tanzania,2017,17,16
North America,Northern America,United States of America,2015,1,2
South America,South America,Uruguay,2016,7,12
Asia,Central Asia,Uzbekistan,2017,22,6
Oceania,Melanesia,Vanuatu,2015,26,19
South America,South America,Venezuela (Bolivarian Republic of),,6,9
Asia,South-Eastern Asia,Viet Nam,2017,26,9
Asia,Western Asia,Yemen,2016,18,11
Africa,Eastern Africa,Zambia,2017,14,18
Africa,Eastern Africa,Zimbabwe,2013,16,18
